review_id,product_id,review,rating
R48296,P84575,Awesome Dress😍,5
R40467,P84575,Nice one,5
R48262,P84575,I really liked the dress and its material. I must say that the price is rightly justified for the dress. The size is also appropriate as I have selected from the size chart.,5
R49671,P84575,Awsm dress,5
R70484,P84575,Wonderful go 4 it,4
R72286,P84575,Nice product 💞💞💞💞,5
R95969,P84575,As expected 😍😍 nice dress go for it  #priyapankaj,5
R58997,P84575,Worth the penny,5
R53793,P84575,Thank you 😊,5
R84860,P84575,Same product like photo. Thanks.,5
R42409,P72464,osm product,5
R87707,P72464,Good quality nice product👍👍👍,5
R30105,P72464,good... I like ❤,5
R10563,P72464,Amazing,5
R31415,P72464,full satisfied a dress of good quality thank u Flipkart. must buy this,5
R98782,P72464,cool n hot,5
R79418,P72464,nice one,5
R50251,P72464,it's really fantastic dress I m loving it thnx  Flipkart 😍😘😘😘,5
R83196,P72464,Awesome 🤩go for it guys 😊👍,5
R60382,P72464,Good quality & looks supb,5
R58237,P23683,Superb dress and Quality👌,5
R29984,P23683,Wonderful dress and very comfortable. Fitting is commendable . In love with this dress,5
R75801,P23683,i just love it 😃☺️😂,5
R75199,P23683,"Thanks I got my parcel very good quality, perfect size and beautiful dress",5
R95704,P23683,beautiful dress,5
R97270,P23683,Beautiful dress i loved it,5
R77783,P23683,Amazing dress,3
R52782,P23683,Good product 👍,5
R83527,P23683,Nice 👍🙂,5
R53709,P23683,I order for my friend and she also loved it  she's looking pretty Very nice dress material is good Price is affordable,5
R19744,P30659,awesome dress,5
R85768,P30659,Beautiful and elegant dress for parties,5
R97504,P30659,Nice dress... Gives fabulous look 😍,5
R35550,P30659,Really nice ☺️👍 dress it made my birthday even more special #must buy quality 💯 fabric  💯 look  💯....,5
R64952,P30659,Nice dress for birthday party 💙💙,4
R48631,P30659,Awesome dress for parties .... 👍👍,5
R90908,P30659,Just lovelyAmazing comfortableJust as shown in picture.....totally loved itHighly recommendedI am a plus size and it was just too good and perfect fit for me😍🥰,5
R23866,P30659,Beautiful dress 😍😍,5
R69678,P30659,Very good product.,5
R60147,P30659,Beautiful dress thanks Flipkart ❤️❤️❤️,5
R81067,P22082,Nice dress + nice design ☺❤✨,5
R63714,P22082,Maxi is superb at this price.But height is longer than expected.,5
R81123,P22082,its really beautiful dresses..i like it❤️,5
R69313,P22082,Very good👍,5
R56579,P22082,Nice,5
R32074,P22082,Excellent,4
R75787,P22082,So pretty 😍😊,5
